pipes-ordered-zip;1.1.0;;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-15.3/pipes-ordered-zip/pipes-ordered-zip-1.1.0/pipes-ordered-zip.cabal;Bioinformatics;base,pipes,pipes-safe;Pipes.OrderedZip;src;
doldol;0.4.1.2;;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-15.3/doldol/doldol-0.4.1.2/doldol.cabal;Data;base;Data.Flag,Data.Flag.Internal,Data.Flag.Phantom,Data.Flag.Simple;src;
gpolyline;0.1.0.1;;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-15.3/gpolyline/gpolyline-0.1.0.1/gpolyline.cabal;Graphics;base,split;GPolyline;;
pipes-fastx;0.3.0.0;;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-15.3/pipes-fastx/pipes-fastx-0.3.0.0/pipes-fastx.cabal;Pipes;attoparsec,base,bytestring,pipes,pipes-attoparsec,pipes-bytestring;Pipes.Fastx;;
doctest-driver-gen;0.3.0.2;;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-15.3/doctest-driver-gen/doctest-driver-gen-0.3.0.2/doctest-driver-gen.cabal;Testing;base,base,doctest-driver-gen;Test.DocTest.Gen;app,src;Main.hs
bson;0.4.0.0;;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-15.3/bson/bson-0.4.0.0/bson.cabal;Data;base,binary,bytestring,cryptohash-md5,data-binary-ieee754,mtl,text,time;Data.Bson,Data.Bson.Binary;;
cryptonite-openssl;0.7;experimental;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-15.3/cryptonite-openssl/cryptonite-openssl-0.7/cryptonite-openssl.cabal;Cryptography;base,basement,bytestring,cryptonite,memory;Crypto.OpenSSL,Crypto.OpenSSL.AES,Crypto.OpenSSL.AES.Foreign,Crypto.OpenSSL.ASN1,Crypto.OpenSSL.BN,Crypto.OpenSSL.BN.Foreign,Crypto.OpenSSL.ECC,Crypto.OpenSSL.ECC.Foreign,Crypto.OpenSSL.Misc,Crypto.OpenSSL.Random;;
byteslice;0.2.2.0;;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-15.3/byteslice/byteslice-0.2.2.0/byteslice.cabal;Data;base,primitive,primitive-addr,primitive-unlifted,run-st;Data.Bytes,Data.Bytes.Byte,Data.Bytes.Chunks,Data.Bytes.Mutable,Data.Bytes.Types;src;
hw-fingertree;0.1.1.1;;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-15.3/hw-fingertree/hw-fingertree-0.1.1.1/hw-fingertree.cabal;Data Structures;base,deepseq,hw-prim;HaskellWorks.Data.FingerTree,HaskellWorks.Data.IntervalMap.FingerTree,HaskellWorks.Data.PriorityQueue.FingerTree,Paths_hw_fingertree;src;
vformat-time;0.1.0.0;;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-15.3/vformat-time/vformat-time-0.1.0.0/vformat-time.cabal; Format, Time,Text;base,time,vformat;Paths_vformat_time,Text.Format.Time;src;
simple-cmd;0.2.1;;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-15.3/simple-cmd/simple-cmd-0.2.1/simple-cmd.cabal;System;base,directory,filepath,process,unix;SimpleCmd,SimpleCmd.Git,SimpleCmd.Rpm;;
persistent-mysql;2.10.2.3;Stable;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-15.3/persistent-mysql/persistent-mysql-2.10.2.3/persistent-mysql.cabal; Yesod,Database;aeson,base,blaze-builder,bytestring,conduit,containers,monad-logger,mysql,mysql-simple,persistent,resource-pool,resourcet,text,transformers,unliftio-core;Database.Persist.MySQL;;
base-compat;0.11.1;;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-15.3/base-compat/base-compat-0.11.1/base-compat.cabal;Compatibility;base;Control.Concurrent.Compat,Control.Concurrent.Compat.Repl,Control.Concurrent.MVar.Compat,Control.Concurrent.MVar.Compat.Repl,Control.Exception.Compat,Control.Exception.Compat.Repl,Control.Monad.Compat,Control.Monad.Compat.Repl,Control.Monad.Fail.Compat,Control.Monad.Fail.Compat.Repl,Control.Monad.IO.Class.Compat,Control.Monad.IO.Class.Compat.Repl,Control.Monad.ST.Lazy.Unsafe.Compat,Control.Monad.ST.Lazy.Unsafe.Compat.Repl,Control.Monad.ST.Unsafe.Compat,Control.Monad.ST.Unsafe.Compat.Repl,Data.Bifoldable.Compat,Data.Bifoldable.Compat.Repl,Data.Bifunctor.Compat,Data.Bifunctor.Compat.Repl,Data.Bitraversable.Compat,Data.Bitraversable.Compat.Repl,Data.Bits.Compat,Data.Bits.Compat.Repl,Data.Bool.Compat,Data.Bool.Compat.Repl,Data.Complex.Compat,Data.Complex.Compat.Repl,Data.Either.Compat,Data.Either.Compat.Repl,Data.Foldable.Compat,Data.Foldable.Compat.Repl,Data.Function.Compat,Data.Function.Compat.Repl,Data.Functor.Compat,Data.Functor.Compat.Repl,Data.Functor.Compose.Compat,Data.Functor.Compose.Compat.Repl,Data.Functor.Const.Compat,Data.Functor.Const.Compat.Repl,Data.Functor.Contravariant.Compat,Data.Functor.Contravariant.Compat.Repl,Data.Functor.Identity.Compat,Data.Functor.Identity.Compat.Repl,Data.Functor.Product.Compat,Data.Functor.Product.Compat.Repl,Data.Functor.Sum.Compat,Data.Functor.Sum.Compat.Repl,Data.IORef.Compat,Data.IORef.Compat.Repl,Data.List.Compat,Data.List.Compat.Repl,Data.List.NonEmpty.Compat,Data.List.NonEmpty.Compat.Repl,Data.Monoid.Compat,Data.Monoid.Compat.Repl,Data.Proxy.Compat,Data.Proxy.Compat.Repl,Data.Ratio.Compat,Data.Ratio.Compat.Repl,Data.STRef.Compat,Data.STRef.Compat.Repl,Data.Semigroup.Compat,Data.Semigroup.Compat.Repl,Data.String.Compat,Data.String.Compat.Repl,Data.Type.Coercion.Compat,Data.Type.Coercion.Compat.Repl,Data.Type.Equality.Compat,Data.Type.Equality.Compat.Repl,Data.Version.Compat,Data.Version.Compat.Repl,Data.Void.Compat,Data.Void.Compat.Repl,Data.Word.Compat,Data.Word.Compat.Repl,Debug.Trace.Compat,Debug.Trace.Compat.Repl,Foreign.Compat,Foreign.Compat.Repl,Foreign.ForeignPtr.Compat,Foreign.ForeignPtr.Compat.Repl,Foreign.ForeignPtr.Safe.Compat,Foreign.ForeignPtr.Safe.Compat.Repl,Foreign.ForeignPtr.Unsafe.Compat,Foreign.ForeignPtr.Unsafe.Compat.Repl,Foreign.Marshal.Alloc.Compat,Foreign.Marshal.Alloc.Compat.Repl,Foreign.Marshal.Array.Compat,Foreign.Marshal.Array.Compat.Repl,Foreign.Marshal.Compat,Foreign.Marshal.Compat.Repl,Foreign.Marshal.Safe.Compat,Foreign.Marshal.Safe.Compat.Repl,Foreign.Marshal.Unsafe.Compat,Foreign.Marshal.Unsafe.Compat.Repl,Foreign.Marshal.Utils.Compat,Foreign.Marshal.Utils.Compat.Repl,Numeric.Compat,Numeric.Compat.Repl,Numeric.Natural.Compat,Numeric.Natural.Compat.Repl,Prelude.Compat,Prelude.Compat.Repl,System.Environment.Compat,System.Environment.Compat.Repl,System.Exit.Compat,System.Exit.Compat.Repl,System.IO.Error.Compat,System.IO.Error.Compat.Repl,System.IO.Unsafe.Compat,System.IO.Unsafe.Compat.Repl,Text.Read.Compat,Text.Read.Compat.Repl,Type.Reflection.Compat,Type.Reflection.Compat.Repl;src;
median-stream;0.7.0.0;;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-15.3/median-stream/median-stream-0.7.0.0/median-stream.cabal;Data;base,heap;Data.MedianStream;src;
amazonka-support;1.6.1;;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-15.3/amazonka-support/amazonka-support-1.6.1/amazonka-support.cabal; AWS, Cloud, Distributed Computing,Network;amazonka-core,base;Network.AWS.Support,Network.AWS.Support.AddAttachmentsToSet,Network.AWS.Support.AddCommunicationToCase,Network.AWS.Support.CreateCase,Network.AWS.Support.DescribeAttachment,Network.AWS.Support.DescribeCases,Network.AWS.Support.DescribeCommunications,Network.AWS.Support.DescribeServices,Network.AWS.Support.DescribeSeverityLevels,Network.AWS.Support.DescribeTrustedAdvisorCheckRefreshStatuses,Network.AWS.Support.DescribeTrustedAdvisorCheckResult,Network.AWS.Support.DescribeTrustedAdvisorCheckSummaries,Network.AWS.Support.DescribeTrustedAdvisorChecks,Network.AWS.Support.RefreshTrustedAdvisorCheck,Network.AWS.Support.ResolveCase,Network.AWS.Support.Types,Network.AWS.Support.Types.Product,Network.AWS.Support.Types.Sum,Network.AWS.Support.Waiters;gen,src;
ObjectName;1.1.0.1;;/Users/fruiz/Desktop/github/papers-stackage/pipelines/scripts/StackageDownload/lts-15.3/ObjectName/ObjectName-1.1.0.1/ObjectName.cabal;Data;base,transformers;Data.ObjectName;src;
